"","city","county","state","date","year","quarter","total_cases","new_cases","year_quarter"
"1","San Francisco","City and County of San Francisco","CA",2020-03-31,2020,"1",704,704,"2020 Q1"
"2","San Francisco","City and County of San Francisco","CA",2020-06-30,2020,"2",4040,3336,"2020 Q2"
"3","San Francisco","City and County of San Francisco","CA",2020-09-30,2020,"3",11462,7422,"2020 Q3"
"4","San Francisco","City and County of San Francisco","CA",2020-12-31,2020,"4",24706,13244,"2020 Q4"
"5","San Francisco","City and County of San Francisco","CA",2021-03-31,2021,"1",35280,10574,"2021 Q1"
"6","San Francisco","City and County of San Francisco","CA",2021-06-30,2021,"2",37174,1894,"2021 Q2"
"7","San Francisco","City and County of San Francisco","CA",2021-09-30,2021,"3",50386,13212,"2021 Q3"
"8","San Francisco","City and County of San Francisco","CA",2021-12-31,2021,"4",68666,18280,"2021 Q4"
"9","San Francisco","City and County of San Francisco","CA",2022-03-31,2022,"1",125052,56386,"2022 Q1"
"10","San Francisco","City and County of San Francisco","CA",2022-06-30,2022,"2",160031,34979,"2022 Q2"
"11","San Francisco","City and County of San Francisco","CA",2022-09-30,2022,"3",178478,18447,"2022 Q3"
"12","San Francisco","City and County of San Francisco","CA",2022-12-31,2022,"4",190004,11526,"2022 Q4"
"13","San Francisco","City and County of San Francisco","CA",2023-03-31,2023,"1",198048,8044,"2023 Q1"
"14","San Francisco","City and County of San Francisco","CA",2023-06-30,2023,"2",201311,3263,"2023 Q2"
"15","San Francisco","City and County of San Francisco","CA",2023-07-23,2023,"3",201828,517,"2023 Q3"
"16","Chicago","Cook County","IL",2020-03-31,2020,"1",4496,4496,"2020 Q1"
"17","Chicago","Cook County","IL",2020-06-30,2020,"2",90536,86040,"2020 Q2"
"18","Chicago","Cook County","IL",2020-09-30,2020,"3",145462,54926,"2020 Q3"
"19","Chicago","Cook County","IL",2020-12-31,2020,"4",393652,248190,"2020 Q4"
"20","Chicago","Cook County","IL",2021-03-31,2021,"1",497885,104233,"2021 Q1"
"21","Chicago","Cook County","IL",2021-06-30,2021,"2",557001,59116,"2021 Q2"
"22","Chicago","Cook County","IL",2021-09-30,2021,"3",619576,62575,"2021 Q3"
"23","Chicago","Cook County","IL",2021-12-31,2021,"4",835356,215780,"2021 Q4"
"24","Chicago","Cook County","IL",2022-03-31,2022,"1",1127765,292409,"2022 Q1"
"25","Chicago","Cook County","IL",2022-06-30,2022,"2",1239476,111711,"2022 Q2"
"26","Chicago","Cook County","IL",2022-09-30,2022,"3",1239476,0,"2022 Q3"
"27","Chicago","Cook County","IL",2022-12-31,2022,"4",1269585,30109,"2022 Q4"
"28","Chicago","Cook County","IL",2023-03-31,2023,"1",1269585,0,"2023 Q1"
"29","Chicago","Cook County","IL",2023-06-30,2023,"2",1269585,0,"2023 Q2"
"30","Chicago","Cook County","IL",2023-07-23,2023,"3",1269585,0,"2023 Q3"
"31","Dallas","Dallas County","TX",2020-03-31,2020,"1",549,549,"2020 Q1"
"32","Dallas","Dallas County","TX",2020-06-30,2020,"2",20737,20188,"2020 Q2"
"33","Dallas","Dallas County","TX",2020-09-30,2020,"3",82161,61424,"2020 Q3"
"34","Dallas","Dallas County","TX",2020-12-31,2020,"4",191544,109383,"2020 Q4"
"35","Dallas","Dallas County","TX",2021-03-31,2021,"1",290898,99354,"2021 Q1"
"36","Dallas","Dallas County","TX",2021-06-30,2021,"2",306417,15519,"2021 Q2"
"37","Dallas","Dallas County","TX",2021-09-30,2021,"3",387470,81053,"2021 Q3"
"38","Dallas","Dallas County","TX",2021-12-31,2021,"4",437746,50276,"2021 Q4"
"39","Dallas","Dallas County","TX",2022-03-31,2022,"1",569024,131278,"2022 Q1"
"40","Dallas","Dallas County","TX",2022-06-30,2022,"2",595233,26209,"2022 Q2"
"41","Dallas","Dallas County","TX",2022-09-30,2022,"3",659215,63982,"2022 Q3"
"42","Dallas","Dallas County","TX",2022-12-31,2022,"4",668020,8805,"2022 Q4"
"43","Dallas","Dallas County","TX",2023-03-31,2023,"1",693089,25069,"2023 Q1"
"44","Dallas","Dallas County","TX",2023-06-30,2023,"2",696581,3492,"2023 Q2"
"45","Dallas","Dallas County","TX",2023-07-23,2023,"3",696581,0,"2023 Q3"
"46","Washington D.C.","District of Columbia","DC",2020-03-31,2020,"1",586,586,"2020 Q1"
"47","Washington D.C.","District of Columbia","DC",2020-06-30,2020,"2",10327,9741,"2020 Q2"
"48","Washington D.C.","District of Columbia","DC",2020-09-30,2020,"3",15326,4999,"2020 Q3"
"49","Washington D.C.","District of Columbia","DC",2020-12-31,2020,"4",28983,13657,"2020 Q4"
"50","Washington D.C.","District of Columbia","DC",2021-03-31,2021,"1",44513,15530,"2021 Q1"
"51","Washington D.C.","District of Columbia","DC",2021-06-30,2021,"2",49335,4822,"2021 Q2"
"52","Washington D.C.","District of Columbia","DC",2021-09-30,2021,"3",61153,11818,"2021 Q3"
"53","Washington D.C.","District of Columbia","DC",2021-12-31,2021,"4",94286,33133,"2021 Q4"
"54","Washington D.C.","District of Columbia","DC",2022-03-31,2022,"1",134623,40337,"2022 Q1"
"55","Washington D.C.","District of Columbia","DC",2022-06-30,2022,"2",157041,22418,"2022 Q2"
