"market","state","year","quarter","unemployment_rate"
"Austin","TX",2020,"Q1",5
"Austin","TX",2020,"Q2",12.8
"Austin","TX",2020,"Q2",11.6
"Austin","TX",2020,"Q2",10.1
"Austin","TX",2020,"Q3",9.3
"Austin","TX",2020,"Q3",8.1
"Austin","TX",2020,"Q3",7.7
"Austin","TX",2020,"Q4",7.1
"Austin","TX",2020,"Q4",7
"Austin","TX",2020,"Q4",6.9
"Austin","TX",2021,"Q1",6.7
"Austin","TX",2021,"Q1",6.6
"Austin","TX",2021,"Q1",6.4
"Austin","TX",2021,"Q2",6.2
"Austin","TX",2021,"Q2",6
"Austin","TX",2021,"Q2",5.8
"Austin","TX",2021,"Q3",5.6
"Austin","TX",2021,"Q3",5.3
"Austin","TX",2021,"Q3",5.1
"Austin","TX",2021,"Q4",4.9
"Austin","TX",2021,"Q4",4.6
"Austin","TX",2021,"Q4",4.5
"Austin","TX",2022,"Q1",4.3
"Austin","TX",2022,"Q1",4.1
"Austin","TX",2022,"Q1",3.9
"Austin","TX",2022,"Q2",3.8
"Austin","TX",2022,"Q2",3.8
"Austin","TX",2022,"Q2",3.8
"Austin","TX",2022,"Q3",3.8
"Austin","TX",2022,"Q3",3.8
"Austin","TX",2022,"Q3",3.9
"Austin","TX",2022,"Q4",4
"Austin","TX",2022,"Q4",4
"Austin","TX",2022,"Q4",4.1
"Austin","TX",2023,"Q1",4.1
"Austin","TX",2023,"Q1",4
"Austin","TX",2023,"Q1",4
"Austin","TX",2023,"Q2",4
"Austin","TX",2023,"Q2",4
"Austin","TX",2023,"Q2",3.9
"Austin","TX",2023,"Q3",3.9
"Austin","TX",2023,"Q3",3.9
"Austin","TX",2023,"Q3",3.9
"Austin","TX",2023,"Q4",3.9
"Austin","TX",2023,"Q4",3.9
"Austin","TX",2023,"Q4",3.9
"Austin","TX",2024,"Q1",3.9
"Austin","TX",2024,"Q1",3.9
"Austin","TX",2024,"Q1",3.9
"Austin","TX",2024,"Q2",4
"Austin","TX",2024,"Q2",4
"Austin","TX",2024,"Q2",4
"Austin","TX",2024,"Q3",4.1
"Austin","TX",2024,"Q3",4.1
"Austin","TX",2024,"Q3",4.1
"Austin","TX",2024,"Q4",4.1
"Austin","TX",2024,"Q4",4.2
"Austin","TX",2024,"Q4",4.2
"Chicago","IL",2020,"Q1",5.1
"Chicago","IL",2020,"Q2",18.1
"Chicago","IL",2020,"Q2",14.7
"Chicago","IL",2020,"Q2",12.6
"Chicago","IL",2020,"Q3",11.4
"Chicago","IL",2020,"Q3",9.7
"Chicago","IL",2020,"Q3",9
